,AVppAmp,SDppAmp,SDSDppAmp,RMSSDppAmp,AVpw,SDpw,SDSDpw,RMSSDpw,meanA1,stdA1,meanA2,stdA2,meanArea,stdArea,meanIPAR,stdIPAR,meanT1,stdT1,meanT2,stdT2,meanIPTR,stdIPTR,MeanAbsDev,MedianAbsDev,InterquartileRange,centralMoment,averageCurveLength,shapeFactor,meanValue,sdValue,rmsValue,tmean25,tmean50,geometricMean,maxValue,minValue,skewPPI,kurtPPI,PoincareSD1,PoincareSD2,ratioSD1SD2,CCM,HjorthMobility,HjorthComplexity,lam,HFD,KFD,MeanAbsDev_statistical,MedianAbsDev_statistical,InterquartileRange_statistical,centralMoment_statistical,averageCurveLength_statistical,shapeFactor_statistical,meanValue_statistical,sdValue_statistical,rmsValue_statistical,tmean25_statistical,tmean50_statistical,geometricMean_statistical,maxValue_statistical,minValue_statistical,skewPPG,kurtPPG,PoincareSD1_statistical,PoincareSD2_statistical,ratioSD1SD2_statistical,CCM_statistical,HjorthMobility_statistical,HjorthComplexity_statistical,lam_statistical,HFD_statistical,KFD_statistical
RandomForest,0.07014050296854109,0.07631588685577106,0.08300961281991687,0.091661557847793,0.16902782035899622,0.08829663674923159,0.07919237355283296,0.07400672321162846,0.12241737980833522,0.11486534434622775,0.09351681909322371,0.07597345438452836,0.10910041695000607,0.08484124829890857,0.0864029192808686,0.11325476308214665,0.14755764129465235,0.08519288261802238,0.09188174935539016,0.0811328462116438,0.10080483526088536,0.09242143066469637,0.056647437096307526,0.056665021922734,0.05791447825117662,0.05901809619525318,0.0,0.08041382968932737,0.08099440427504767,0.03792064627221974,0.03893091621863944,0.07533491136195627,0.059288385147292934,0.06013129024342434,0.051412060176420825,0.06050276658566384,0.07282943365672911,0.05198863466713015,0.0494520604174722,0.051538554386213846,0.04885932105815316,2.8832492940354548e-06,0.048200399713266534,0.1112452864094584,0.05083710013493035,0.12596553015955042,0.04498842249201127,0.05770918570681578,0.05645973841990867,0.05936153351358537,0.0596983281799789,0.0,0.08096435011306188,0.08017645097653157,0.038881189830226856,0.0385812193753799,0.07184219005197187,0.06029552471171939,0.06373368347052578,0.049818778979993754,0.06145750690018837,0.07590602871233267,0.05165593754049544,0.049049294086355166,0.05089846266287673,0.04953953373374188,1.4789253792307178e-06,0.05004669325741255,0.10858138750513527,0.05120893894422293,0.12829665567522827,0.04373919393301189
CatBoost,0.09436951387136899,0.11936027853032209,0.1153577080546641,0.1594034820509838,0.12131458521864007,0.13828564075119817,0.10167885052383413,0.07729179865597965,0.07649828472727634,0.1880716527868152,0.12631794260942347,0.07521354560977316,0.07740171480038548,0.10726429785208738,0.10153581390182394,0.1503501108873996,0.09660804580280193,0.0950590586474925,0.1547042902374181,0.09479647447817284,0.13182591942972385,0.11748547686568614,0.05475749578456366,0.04149355358543884,0.05051634577431112,0.04574574534314028,0.03737280082834287,0.09990351593658851,0.09892724849956161,0.03327940249705165,0.05006169870582325,0.10467012104632405,0.07159490045024645,0.048281793650945676,0.022597523961703912,0.05124332563309553,0.06126421066261373,0.03924517224574589,0.015742086880495724,0.02732062936593541,0.012942675579420516,0.053210725498284796,0.01974392823914006,0.15693840567365158,0.05824416889339985,0.08270620466688663,0.01329746253788908,0.03407447411849381,0.040245151093687384,0.043627563498468115,0.03547834162721297,0.01967855640247136,0.11028100527792616,0.0833476274081066,0.01866229846333513,0.03956712942044867,0.07475728287707978,0.05812806382563647,0.032362534248339306,0.020039599912944763,0.042435228808748,0.04454929550042548,0.02015834688601856,0.021322081956687732,0.022905791948838215,0.018197699262251905,0.049574350404353595,0.016341332044733075,0.13929985988370938,0.037601767555498926,0.08951736846873039,0.01655162087198353
XGBoost,0.06667919922620058,0.07474028505384922,0.058804248459637165,0.07777475472539663,0.31151239573955536,0.07820801250636578,0.05994237866252661,0.04933237750083208,0.06151683162897825,0.09032941050827503,0.08072560001164675,0.05734573304653168,0.08129117544740438,0.060766568407416344,0.0623387461528182,0.08657691068947315,0.11376980692148209,0.05720820929855108,0.07267947308719158,0.059266045689582825,0.06587226688861847,0.10466349683701992,0.07470729574561119,0.06591154914349318,0.0690171867609024,0.0539232213050127,0.030624857638031244,0.09191861376166344,0.05805166345089674,0.03071165969595313,0.030898673459887505,0.0707929590716958,0.05342517327517271,0.06650020089000463,0.06935268640518188,0.07398676592856646,0.05738360248506069,0.0494674788787961,0.06512011867016554,0.058939711190760136,0.08547730185091496,0.06642921920865774,0.06795459240674973,0.08469485864043236,0.03863407485187054,0.0824542073532939,0.06837436649948359,0.07334606442600489,0.06671733781695366,0.06941617839038372,0.06062869820743799,0.03673487436026335,0.09374508634209633,0.06192902848124504,0.02301858039572835,0.02783814398571849,0.06880547013133764,0.04468842223286629,0.05430038087069988,0.10471515357494354,0.08116981294006109,0.06159111764281988,0.04070882825180888,0.07107549207285047,0.05537515878677368,0.07048853393644094,0.06233292445540428,0.05361868254840374,0.11922669969499111,0.04140520142391324,0.07738165464252234,0.08364650327712297
SVM,0.2559561682573348,0.37451396253092967,0.3765288087663486,0.42707670554966426,0.27769529869211734,0.1852951572993991,0.3382820784729586,0.212265818310357,0.21657829621774477,0.6002827854365499,0.24648285613290916,0.19522799575821845,0.06401555319901023,0.3112053729232945,0.0022976316719689025,0.0013785790031813348,0.15546129374337225,0.3238600212089078,0.3029692470837752,0.16348533050547892,0.06599505125486038,0.035913750441852285,0.19091551785083072,0.17882644043831747,0.16468716861081653,0.0017674089784376124,0.0032873806998939487,0.20979144574054429,0.183457051961824,-0.027253446447507955,-0.0014139271827500299,0.03149522799575821,0.03902439024390244,0.030717568045245683,0.0029692470837751842,0.0904559915164369,0.1511841640155532,0.11516436903499472,0.06861081654294807,0.06903499469777308,0.04715447154471545,0.3118769883351008,0.009862142099681837,0.15037115588547184,0.026369741958289172,0.08716861081654295,0.0006362672322374975,0.19091551785083072,0.17882644043831747,0.16468716861081653,0.0017674089784376124,0.0032873806998939487,0.20979144574054429,0.183457051961824,-0.027253446447507955,-0.0014139271827500299,0.03149522799575821,0.03902439024390244,0.030717568045245683,0.0029692470837751842,0.0904559915164369,0.1511841640155532,0.11516436903499472,0.06861081654294807,0.06903499469777308,0.04715447154471545,0.3118769883351008,0.009862142099681837,0.15037115588547184,0.026369741958289172,0.08716861081654295,0.0006362672322374975
