iter	MultiClass
0	1.277179764
1	1.185572134
2	1.108027429
3	1.051013384
4	1.003122765
5	0.9617603394
6	0.9276244925
7	0.9025908839
8	0.8812374549
9	0.8599622324
10	0.8433302024
11	0.8225615946
12	0.807079914
13	0.7911768611
14	0.7769384794
15	0.7655174634
16	0.7530459976
17	0.7429063449
18	0.7351307183
19	0.7264606576
20	0.7155329097
21	0.7080940822
22	0.7010156166
23	0.696174701
24	0.6905505708
25	0.6834674652
26	0.6749428838
27	0.6699645927
28	0.6661221197
29	0.6608687097
30	0.6547213172
31	0.6511221603
32	0.6468158697
33	0.6425519039
34	0.6346230687
35	0.630964111
36	0.6264767781
37	0.6208961827
38	0.617220253
39	0.6133082338
40	0.6080288828
41	0.6033996398
42	0.5986553842
43	0.5942285208
44	0.5919276759
45	0.5894198214
46	0.58391019
47	0.5790963128
48	0.5720249442
49	0.5701948418
50	0.5652039027
51	0.5618375287
52	0.5598814987
53	0.5567690086
54	0.5524568646
55	0.5488303258
56	0.5449578865
57	0.5424413404
58	0.5404295334
59	0.5386570056
60	0.535962914
61	0.533361471
62	0.5307308451
63	0.5280911594
64	0.5248340599
65	0.5216045607
66	0.5180166097
67	0.5152045216
68	0.5111503848
69	0.5087585608
70	0.5054191383
71	0.5028950357
72	0.4998512267
73	0.4973156507
74	0.4952560701
75	0.4921309706
76	0.4895807532
77	0.4866975517
78	0.4841781513
79	0.4824732564
80	0.4808246681
81	0.4783409402
82	0.4745901746
83	0.4715149874
84	0.4688063182
85	0.4658408959
86	0.4635366333
87	0.4619190408
88	0.4601815594
89	0.458176829
90	0.4565994185
91	0.4545351992
92	0.4532217763
93	0.4516694021
94	0.4484891085
95	0.4469569325
96	0.4449422466
97	0.4430191595
98	0.4416695666
99	0.4384066496
100	0.4361751257
101	0.4339915837
102	0.4320451533
103	0.430698464
104	0.428276426
105	0.426573329
106	0.4247471997
107	0.4233654825
108	0.4216374319
109	0.4192924497
110	0.4166427165
111	0.4150654395
112	0.4139849745
113	0.4129753002
114	0.41127885
115	0.409193088
116	0.4078730823
117	0.4053405456
118	0.4045140802
119	0.4023717538
120	0.4007334537
121	0.3993381709
122	0.3969750505
123	0.3954735372
124	0.3933923976
125	0.3917015211
126	0.3901471251
127	0.3883899854
128	0.3856131927
129	0.3841670767
130	0.3826626606
131	0.3811071647
132	0.3803280805
133	0.3785085822
134	0.3778185983
135	0.3764530805
136	0.3756294385
137	0.3741244566
138	0.3720845186
139	0.3707438853
140	0.3683296509
141	0.3654061039
142	0.3642397216
143	0.3629885053
144	0.3617313551
145	0.3611610791
146	0.3592364203
147	0.3576652593
148	0.3564575281
149	0.355288012
150	0.353839858
151	0.3520161544
152	0.3507705635
153	0.3500525385
154	0.3492615182
155	0.3478344999
156	0.3466204016
157	0.3450307497
158	0.3441594474
159	0.3429311111
160	0.3423621679
161	0.3410979873
162	0.3388069706
163	0.3376779501
164	0.335818176
165	0.3346704744
166	0.3334162866
167	0.3326367766
168	0.331260591
169	0.3293458749
170	0.3278990061
171	0.3267915716
172	0.3254935164
173	0.3235392178
174	0.3228176468
175	0.3221802789
176	0.3212291654
177	0.320478554
178	0.3189109482
179	0.3180492645
180	0.3172869244
181	0.3161946711
182	0.3154601194
183	0.3147348517
184	0.3138170576
185	0.3126924686
186	0.3119263868
187	0.3110873696
188	0.3097940859
189	0.3086425749
190	0.3074065852
191	0.3065603803
192	0.3054823143
193	0.30470451
194	0.3040653397
195	0.3024854404
196	0.3020480955
197	0.3014124018
198	0.3002934999
199	0.2993648047
200	0.2986900985
201	0.2971692985
202	0.2962894796
203	0.295013196
204	0.2942025318
205	0.2932069953
206	0.2922416272
207	0.2909706315
208	0.2900616891
209	0.2895267835
210	0.2887846123
211	0.2882479128
212	0.2874956364
213	0.2864566082
214	0.2860324386
215	0.2845027919
216	0.2831091158
217	0.2824542346
218	0.2812954601
219	0.2801669759
220	0.2792027859
221	0.2783619064
222	0.2772461037
223	0.2765156859
224	0.2759778997
225	0.2750989635
226	0.2745723009
227	0.2738618049
228	0.273084806
229	0.2720246508
230	0.270959449
231	0.2699256066
232	0.268344408
233	0.2674990049
234	0.2668459772
235	0.2657283848
236	0.2648924891
237	0.2643949597
238	0.263693338
239	0.2629018787
240	0.2622816956
241	0.2615062846
242	0.2607417695
243	0.2602992889
244	0.2598555479
245	0.2593122877
246	0.2588696351
247	0.2583012915
248	0.2573573805
249	0.256495346
250	0.2557817906
251	0.2552182414
252	0.2543634962
253	0.2535521608
254	0.2528823175
255	0.251644361
256	0.2512431471
257	0.2507343343
258	0.2499323164
259	0.249221242
260	0.2487205596
261	0.2482968094
262	0.2476086857
263	0.24706833
264	0.2463304486
265	0.2457390887
266	0.2454273306
267	0.2447142902
268	0.2438911025
269	0.2433308034
270	0.2431124339
271	0.2425585023
272	0.2416095831
273	0.24090966
274	0.2402927716
275	0.2397014869
276	0.2390767241
277	0.238589626
278	0.2378197359
279	0.2369978843
280	0.2360814333
281	0.2353603346
282	0.2345744731
283	0.2338840499
284	0.2333962512
285	0.2323783231
286	0.2319995447
287	0.2313159374
288	0.2302706276
289	0.2298055712
290	0.2294880456
291	0.2292526167
292	0.2286383481
293	0.2281367581
294	0.227473546
295	0.2268909644
296	0.2260654215
297	0.2253285282
298	0.2248356753
299	0.2239396986
300	0.2234441387
301	0.2227824758
302	0.2222263254
303	0.2218235547
304	0.2208919287
305	0.2201043167
306	0.2197559862
307	0.2191515902
308	0.2185759014
309	0.217868513
310	0.21725964
311	0.2168108692
312	0.2163674242
313	0.2157411985
314	0.2152621487
315	0.2146640387
316	0.2140415867
317	0.2134960036
318	0.213123952
319	0.2125657179
320	0.2119723924
321	0.2115769108
322	0.2111315417
