iter	Passed	Remaining
401	14961	16970
402	15007	16943
403	15046	16908
404	15082	16870
405	15116	16829
406	15155	16794
407	15195	16759
408	15227	16716
409	15261	16676
410	15298	16638
411	15334	16600
412	15369	16560
413	15403	16519
414	15438	16479
415	15473	16440
416	15506	16399
417	15537	16355
418	15568	16311
419	15600	16269
420	15636	16231
421	15665	16185
422	15698	16143
423	15736	16107
424	15770	16067
425	15801	16023
426	15833	15981
427	15864	15938
428	15897	15897
429	15925	15851
430	15961	15812
431	15999	15776
432	16030	15733
433	16066	15695
434	16094	15650
435	16129	15611
436	16162	15571
437	16187	15522
438	16220	15481
439	16247	15435
440	16280	15394
441	16313	15354
442	16344	15311
443	16379	15272
444	16413	15233
445	16444	15190
446	16479	15151
447	16514	15113
448	16542	15068
449	16576	15029
450	16606	14986
451	16636	14943
452	16667	14901
453	16705	14865
454	16735	14823
455	16766	14780
456	16796	14738
457	16829	14698
458	16863	14658
459	16893	14616
460	16924	14574
461	16955	14533
462	16988	14493
463	17021	14453
464	17053	14412
465	17088	14375
466	17122	14336
467	17155	14296
468	17181	14250
469	17214	14211
470	17243	14167
471	17274	14126
472	17304	14084
473	17333	14042
474	17366	14002
475	17395	13960
476	17431	13922
477	17462	13881
478	17495	13843
479	17530	13805
480	17559	13763
481	17595	13725
482	17627	13685
483	17656	13643
484	17693	13607
485	17725	13567
486	17758	13528
487	17789	13488
488	17821	13447
489	17853	13408
490	17888	13370
491	17918	13329
492	17955	13293
493	17987	13253
494	18020	13215
495	18054	13177
496	18085	13136
497	18113	13094
498	18144	13053
499	18175	13013
500	18208	12974
501	18239	12934
502	18272	12895
503	18298	12852
504	18328	12811
505	18361	12773
506	18396	12736
507	18433	12700
508	18464	12660
509	18493	12619
510	18525	12579
511	18559	12542
512	18588	12501
513	18620	12462
514	18654	12424
515	18687	12385
516	18720	12347
517	18757	12311
518	18789	12272
519	18823	12235
520	18855	12196
521	18884	12155
522	18917	12117
523	18947	12076
524	18987	12043
525	19036	12015
526	19070	11977
527	19107	11941
528	19139	11903
529	19190	11876
530	19251	11855
531	19283	11816
532	19325	11784
533	19362	11747
534	19400	11712
535	19438	11677
536	19472	11640
537	19507	11603
538	19540	11564
539	19571	11525
540	19620	11496
541	19659	11462
542	19700	11428
543	19740	11394
544	19779	11359
545	19811	11320
546	19843	11282
547	19891	11252
548	19933	11219
549	19977	11187
550	20018	11153
551	20064	11122
552	20102	11087
553	20134	11048
554	20183	11018
555	20215	10980
556	20258	10947
557	20293	10910
558	20328	10873
559	20363	10836
560	20401	10800
561	20433	10762
562	20472	10727
563	20512	10692
564	20548	10656
565	20586	10620
566	20623	10584
567	20656	10546
568	20702	10514
569	20738	10478
570	20772	10440
571	20808	10404
572	20848	10369
573	20885	10333
574	20930	10301
575	20964	10264
576	21002	10228
577	21038	10191
578	21081	10158
579	21124	10125
580	21163	10090
581	21205	10056
582	21237	10017
583	21273	9980
584	21305	9942
585	21338	9904
586	21373	9867
587	21408	9830
588	21437	9790
589	21468	9751
590	21514	9719
